name,url,members,posts_a_month,found_in,found_by,tags,sources
Mossley Local Business Group,https://www.facebook.com/groups/728983467125166/,2700,300.0,Walsall and Bloxwich (constituency),Mossley Walsall,locality,llm
Walsall Pets between Birmingham & Wolverhampton West Mids lost found,https://www.facebook.com/groups/796880810390498/,2200,120.0,Walsall and Bloxwich (constituency),Birchills Walsall; Caldmore Walsall; Coalpool Walsall; Goscote Walsall; Highgate Walsall; Leamore Walsall; Mossley Walsall; Palfrey Walsall; Pleck Walsall; Walsall Arboretum,locality; park,llm
Dudley's Field's Chat/New's,https://www.facebook.com/groups/211109675211723/,1800,210.0,Walsall and Bloxwich (constituency),Dudley Fields Bloxwich,locality,llm
Beechdale Community Partnership,https://www.facebook.com/groups/1457262554850677/,1300,210.0,not in any scrape,,,
Postcode Pets WS- Walsall Area Missing & Found Dogsí ½í°& Catsí ½í°W.Midlands UK,https://www.facebook.com/groups/362541725732804/,1300,90.0,Walsall and Bloxwich (constituency),Birchills Walsall; Caldmore Walsall; Coalpool Walsall; Goscote Walsall; Highgate Walsall; Leamore Walsall; Mossley Walsall; Palfrey Walsall; Pleck Walsall; Walsall Arboretum,locality; park,llm
Walsall/Bloxwich Community Food Bank,https://www.facebook.com/groups/2764712120327454/,1000,120.0,not in any scrape,,,
Bloxwich gossip and updates,https://www.facebook.com/groups/1517444013724338/,866,60.0,"Bloxwich East & Blakenall Heath (ward); Harden, Goscote & Ryecroft (ward); Walsall and Bloxwich (constituency)","Blakenall Village Centre (Love Blakenall Community Hub); Bloxwich; Bloxwich High Street; Bloxwich Park and Promenade Gardens; Bloxwich Road; Chapel Of Rest; Christ Church, Blakenall Heath; Dudley Fields Bloxwich; Fishley Lane; High Street; Mackay Road; Mallory Crescent; Palace Play, Shop, Eat (Blakenall Centre); Stan Ball Centre; The Clock Gardens; Walsall Academy",community_centre; highstreet; locality; park; place_of_worship; residential_road; school; town,llm; overpass
"Westmidlands í ¼í·¬í ¼í·§  Worcestershire, Birmingham Walsall Notice Board",https://www.facebook.com/groups/franchecomommunity/,849,120.0,Walsall and Bloxwich (constituency),Birchills Walsall; Caldmore Walsall; Coalpool Walsall; Goscote Walsall; Highgate Walsall; Leamore Walsall; Mossley Walsall; Palfrey Walsall; Park Street Walsall; Walsall town centre,highstreet; locality,llm
FB EXPRESS walsall,https://www.facebook.com/groups/1068083343933182/,809,90.0,Bloxwich East & Blakenall Heath (ward); Walsall and Bloxwich (constituency),"Blakenall Village Centre (Love Blakenall Community Hub); Mallory Crescent; Palace Play, Shop, Eat (Blakenall Centre); Palfrey Walsall; Stan Ball Centre; Walsall Academy; Walsall town centre",community_centre; locality; residential_road; school,llm; overpass
NEW HALF PRICE MADNESS (Walsall and surrounding areas),https://www.facebook.com/groups/1138054657765010/,709,180.0,Walsall and Bloxwich (constituency),Caldmore Walsall; Coalpool Walsall; Leamore Walsall; Mossley Walsall; Palfrey Walsall; Walsall town centre,locality,llm
spotted help Bloxwich (Walsall),https://www.facebook.com/groups/614351699115120/,689,150.0,Walsall and Bloxwich (constituency),Bloxwich; Bloxwich High Street,highstreet; town,llm
Walsall Events,https://www.facebook.com/groups/226235949920075/,570,270.0,"Harden, Goscote & Ryecroft (ward); Walsall and Bloxwich (constituency)",Walsall Arena & Arts Centre (Forest Arts Centre); Walsall town centre,locality,llm
Waterside Catholic Parish,https://www.facebook.com/groups/443496315376685/,365,60.0,"Harden, Goscote & Ryecroft (ward)",Saint Thomas of Canterbury Catholic Church,place_of_worship,overpass
Local Businesses Bloxwich And Surrounding Areas,https://www.facebook.com/groups/576626699065206/,356,210.0,"Bloxwich East & Blakenall Heath (ward); Harden, Goscote & Ryecroft (ward); Walsall and Bloxwich (constituency)",Bloxwich; Bloxwich High Street; Bloxwich Park and Promenade Gardens; Bloxwich Road; Dudley Fields Bloxwich; Fishley Lane; High Street; Little Bloxwich; Lower Farm Bloxwich; Mallory Crescent; Stan Ball Centre; The Clock Gardens,community_centre; highstreet; locality; park; residential_road; town,llm; overpass
Bloxwich and Walsall Trades page,https://www.facebook.com/groups/4066748250275076/,89,120.0,Bloxwich East & Blakenall Heath (ward),Walsall Academy,school,llm
